|   iter    |  target   | length... | random... | random... |
| 12        | 802.8     | 428.9     | 0.7651    | 0.09808   |
| 13        | 801.1     | 550.8     | 0.8693    | 0.0104    |
| 15        | 800.0     | 228.0     | 0.8362    | 0.03545   |
| 21        | 807.3     | 86.36     | 0.5623    | 0.2098    |
| 24        | 825.5     | 471.3     | 0.9195    | 0.04556   |
| 25        | 803.5     | 115.7     | 0.8494    | 0.1223    |
| 26        | 814.9     | 136.5     | 0.9371    | 0.1076    |
| 29        | 812.0     | 219.6     | 0.914     | 0.1313    |
| 30        | 830.0     | 772.0     | 0.7443    | 0.1884    |
| 37        | 804.8     | 554.3     | 0.988     | 0.05584   |
| 38        | 822.6     | 114.0     | 0.9408    | 0.2106    |
| 39        | 817.9     | 57.47     | 0.8115    | 0.2274    |
| 40        | 811.2     | 738.8     | 0.7794    | 0.04166   |
| 42        | 837.1     | 200.7     | 0.8878    | 0.164     |
| 43        | 827.4     | 444.5     | 0.8747    | 0.04163   |
| 46        | 856.6     | 190.2     | 0.8492    | 0.1194    |
| 47        | 813.5     | 691.5     | 0.8054    | 0.1691    |
| 51        | 821.5     | 303.8     | 0.8366    | 0.2335    |
| 52        | 839.0     | 428.2     | 0.8348    | 0.0566    |
| 59        | 820.2     | 261.4     | 0.8174    | 0.2578    |
| 60        | 824.3     | 684.7     | 0.7851    | 0.274     |
| 61        | 830.8     | 543.3     | 0.66      | 0.118     |
| 63        | 836.3     | 222.8     | 0.818     | 0.02473   |
| 64        | 802.1     | 261.4     | 0.7603    | 0.2257    |
| 69        | 802.9     | 189.9     | 0.878     | 0.2641    |
| 71        | 812.0     | 200.4     | 0.6644    | 0.08375   |
| 73        | 802.0     | 427.7     | 0.936     | 0.08758   |
| 80        | 828.5     | 771.7     | 0.7624    | 0.2895    |
| 93        | 809.5     | 649.6     | 0.8055    | 0.2674    |
| 94        | 804.9     | 444.5     | 0.858     | 0.03983   |
| 97        | 805.0     | 685.0     | 0.8073    | 0.1954    |
| 108       | 802.0     | 684.6     | 0.9005    | 0.05232   |
| 112       | 800.6     | 73.57     | 0.6595    | 0.04778   |
| 120       | 803.4     | 200.6     | 0.8782    | 0.21      |
| 121       | 828.4     | 369.4     | 0.9676    | 0.1729    |
| 124       | 801.5     | 772.2     | 0.8087    | 0.2246    |
| 130       | 827.4     | 665.7     | 0.8734    | 0.1636    |
| 131       | 846.1     | 543.3     | 0.7198    | 0.005     |
| 141       | 813.0     | 428.3     | 0.8791    | 0.03816   |
| 145       | 815.1     | 190.1     | 0.7234    | 0.005459  |
| 147       | 800.0     | 771.7     | 0.9071    | 0.1823    |
| 148       | 801.8     | 190.1     | 0.9866    | 0.06129   |
=============================================================
|   iter    |  target   | length... | random... | random... |
-------------------------------------------------------------
| 1         | 4.864e+03 | 374.4     | 0.8809    | 0.005034  |
| 2         | 4.805e+03 | 290.7     | 0.6572    | 0.03224   |
| 3         | 4.81e+03  | 206.0     | 0.7348    | 0.122     |
| 4         | 4.812e+03 | 463.3     | 0.7635    | 0.2071    |
| 5         | 4.812e+03 | 219.3     | 0.9425    | 0.01308   |
| 6         | 4.819e+03 | 559.4     | 0.7627    | 0.1698    |
| 13        | 4.828e+03 | 571.1     | 0.9255    | 0.0104    |
| 20        | 4.827e+03 | 177.1     | 0.8298    | 0.2114    |
| 25        | 4.812e+03 | 171.7     | 0.9149    | 0.1223    |
| 30        | 4.815e+03 | 774.3     | 0.8587    | 0.1884    |
| 32        | 4.825e+03 | 492.2     | 0.7592    | 0.07492   |
| 33        | 4.853e+03 | 729.5     | 0.8237    | 0.005847  |
| 35        | 4.845e+03 | 716.7     | 0.7393    | 0.273     |
| 36        | 4.804e+03 | 525.1     | 0.6062    | 0.2792    |
| 37        | 4.807e+03 | 574.4     | 0.989     | 0.05584   |
| 42        | 4.819e+03 | 249.7     | 0.9354    | 0.164     |
| 44        | 4.822e+03 | 273.8     | 0.8284    | 0.291     |
| 46        | 4.801e+03 | 240.1     | 0.9148    | 0.1194    |
| 49        | 4.813e+03 | 102.5     | 0.6419    | 0.07158   |
| 50        | 4.821e+03 | 590.5     | 0.8183    | 0.008704  |
| 52        | 4.817e+03 | 458.6     | 0.9071    | 0.0566    |
| 59        | 4.836e+03 | 305.4     | 0.8978    | 0.2578    |
| 61        | 4.802e+03 | 564.3     | 0.8137    | 0.118     |
| 62        | 4.816e+03 | 172.8     | 0.6544    | 0.09847   |
| 63        | 4.848e+03 | 270.0     | 0.8981    | 0.02473   |
| 66        | 4.811e+03 | 517.9     | 0.8174    | 0.1978    |
| 69        | 4.814e+03 | 408.7     | 0.653     | 0.1724    |
| 76        | 4.817e+03 | 294.9     | 0.9344    | 0.2306    |
| 77        | 4.823e+03 | 309.0     | 0.815     | 0.07081   |
| 79        | 4.804e+03 | 153.7     | 0.8467    | 0.1259    |
| 80        | 4.828e+03 | 171.1     | 0.7707    | 0.21      |
| 81        | 4.804e+03 | 229.3     | 0.8891    | 0.1629    |
| 83        | 4.804e+03 | 388.9     | 0.6755    | 0.02735   |
| 84        | 4.812e+03 | 100.8     | 0.6456    | 0.153     |
| 86        | 4.809e+03 | 214.6     | 0.738     | 0.2646    |
| 87        | 4.834e+03 | 626.9     | 0.7826    | 0.06282   |
| 89        | 4.828e+03 | 431.2     | 0.9328    | 0.01653   |
| 93        | 4.803e+03 | 661.9     | 0.8914    | 0.2674    |
| 95        | 4.818e+03 | 266.1     | 0.8586    | 0.1259    |
| 98        | 4.816e+03 | 332.0     | 0.6516    | 0.136     |
| 100       | 4.829e+03 | 794.1     | 0.9345    | 0.2719    |
| 101       | 4.809e+03 | 402.3     | 0.7983    | 0.07655   |
| 102       | 4.825e+03 | 100.8     | 0.8565    | 0.2974    |
| 109       | 4.804e+03 | 765.4     | 0.6969    | 0.02112   |
| 110       | 4.818e+03 | 257.8     | 0.8892    | 0.2       |
| 112       | 4.82e+03  | 133.0     | 0.8134    | 0.04778   |
| 113       | 4.802e+03 | 310.5     | 0.8782    | 0.2059    |
| 115       | 4.812e+03 | 366.5     | 0.6389    | 0.05691   |
| 116       | 4.805e+03 | 204.8     | 0.9496    | 0.1589    |
| 117       | 4.83e+03  | 228.6     | 0.7099    | 0.09069   |
| 121       | 4.801e+03 | 404.6     | 0.978     | 0.1729    |
| 124       | 4.805e+03 | 302.2     | 0.9144    | 0.1901    |
| 128       | 4.804e+03 | 443.3     | 0.8772    | 0.2802    |
| 137       | 4.804e+03 | 418.7     | 0.6823    | 0.2456    |
| 138       | 4.804e+03 | 646.2     | 0.8793    | 0.2661    |
| 139       | 4.808e+03 | 180.7     | 0.9681    | 0.1626    |
| 142       | 4.81e+03  | 273.2     | 0.9047    | 0.155     |
| 147       | 4.802e+03 | 115.8     | 0.9384    | 0.09929   |
| 149       | 4.814e+03 | 681.5     | 0.7263    | 0.1853    |
| 150       | 4.825e+03 | 285.3     | 0.6033    | 0.05095   |
=============================================================
